Recipe Name,Total Price
"Vegetarische burrito's met shoarma, bonenmix en guacamole",25.62
Romige witlofpasta met zalm,16.36
Kipkluifjes met aioli-trio,0.79
Wraps met gegrilde groente,15.6
"Salade met gebakken champignons, tomaat & ei",18.73
"Salade met tomaat, meloen, burrata en basilicum",6.68
Fattoush salade met granaatappel,28.8
"Pasta met geroosterde groenten, burrata en pangrattato",22.67
Eenpanspasta met rundergehakt,29.15
Zalm wraps met mango tomaten salsa,23.23
Gehaktballetjes met chorizo en aioli,12.0
Shoarmasalade met frisse yoghurtdressing en pitapuntjes,20.92
Kip-spinaziewrap met roomkaas,1.29
Pastaschotel uit de oven met tonijn,17.44
"Sla wraps met noodles, aubergine en mango",23.38
Gevulde wraps met garnalen en mango,7.32
Broccolisalade met avocado en makreel,17.62
Caesarsalade met krokante kip,18.68
Pasta pesto met spinazie,5.49
Maaltijdsalade met gegrilde perziken en gedroogde ham,16.72
"Bruschette met ricotta, tomaat en rucola",3.48
Groentewraps met krokante kip en honing-mosterddressing,2.58
Pastasalade met aubergine en granaatappel,25.76
Pasta met verse worst,2.69
Pasta Pesto Perfecto ,19.01
"Maaltijdsalade met mango, kip en frambozendressing",32.42
Wraps met biet-bonen-tomatensalsa,12.23
Vegetarische enchilada's met quinoa-groentevulling,22.16
